#SampleID	Group
00498	A
00794	A
00796	A
00811	A
00812	A
00815	A
00818	A
00819	A
00847	A
00875	A
00878	A
00880	A
00882	A
01691	A
01692	A
01693	A
01694	A
01695	A
01696	A
01697	A
01698	A
01700	A
02053	A
02056	A
02058	A
02227	A
02228	A
02229	A
02230	A
02254	A
02255	A
02256	A
02257	A
02259	A
02261	A
02264	A
02266	A
02269	A
02270	A
02331	A
02332	A
02333	A
02334	A
02335	A
02414	A
02418	A
02513	A
02569	A
02572	A
02573	A
02576	A
02580	A
02587	A
03670	A
03671	A
03672	A
03673	A
03675	A
03677	A
03678	A
03679	A
03682	A
03690	A
03694	A
03695	A
03759	A
03765	A
03968	A
03990	A
04332	A
04333	A
04334	A
04335	A
04336	A
04337	A
04338	A
04339	A
04340	A
04341	A
05491	A
05492	A
05493	A
05494	A
05495	A
05496	A
05497	A
05498	A
05499	A
05500	A
05501	A
05502	A
05503	A
05504	A
05506	A
05507	A
05508	A
07286	A
07334	A
07353	A
07364	A
07391	A
07410	A
07460	A
07463	A
07467	A
07471	A
07474	A
07481	A
07485	A
11550	A
11553	A
11559	A
11563	A
11564	A
11565	A
11566	A
11567	A
11569	A
11588	A
11594	A
11595	A
11602	A
11604	A
11608	A
11616	A
11624	A
11626	A
11638	A
11641	A
11643	A
11644	A
11645	A
11657	A
11658	A
11664	A
11678	A
11680	A
11697	A
11699	A
11701	A
11713	A
11714	A
11739	A
11746	A
11756	A
11757	A
11763	A
11764	A
11778	A
11786	A
11790	A
11791	A
11812	A
11831	A
11868	A
11879	A
11891	A
11903	A
11904	A
11908	A
11941	A
11988	A
11995	A
12000	A
12004	A
12008	A
12009	A
12016	A
12017	A
12026	A
12030	A
12035	A
12040	A
12046	A
12048	A
12050	A
12072	A
12089	A
12092	A
12105	A
12133	A
12147	A
12149	A
12168	A
12173	A
12188	A
12189	A
12207	A
12209	A
12228	A
12230	A
12253	A
12287	A
12294	A
30500	A
30503	A
30505	A
30508	A
30509	A
30510	A
30511	A
30518	A
30519	A
30532	A
30533	A
30534	A
30536	A
30537	A
30541	A
30547	A
30548	A
30549	A
30551	A
30552	A
30553	A
30556	A
30557	A
30561	A
30562	A
30563	A
30565	A
30569	A
30570	A
30575	A
30578	A
30581	A
30583	A
30584	A
30585	A
30589	A
30590	A
30594	A
30595	A
30596	A
30597	A
30604	A
30605	A
30614	A
30617	A
30621	A
30623	A
30626	A
30627	A
30628	A
30629	A
30630	A
30633	A
30636	A
30637	A
30639	A
30640	A
30641	A
30644	A
30646	A
30648	A
30649	A
30651	A
30652	A
30653	A
30654	A
30655	A
30659	A
30660	A
30661	A
30662	A
30666	A
30667	A
30669	A
30670	A
30674	A
30677	A
30680	A
30681	A
30682	A
30692	A
30693	A
30695	A
30696	A
30703	A
30710	A
30711	A
30714	A
30716	A
30718	A
30719	A
30721	A
30724	A
30725	A
30726	A
30729	A
30730	A
30737	A
30740	A
30747	A
30748	A
30754	A
30756	A
30757	A
30764	A
30766	A
30767	A
30772	A
30773	A
30782	A
30783	A
30784	A
30785	A
30787	A
30790	A
30791	A
30797	A
30798	A
30799	A
30800	A
30801	A
30802	A
30807	A
30808	A
30809	A
30810	A
30812	A
30818	A
30819	A
30820	A
30822	A
30823	A
30825	A
30826	A
30827	A
30828	A
30829	A
30831	A
30834	A
30837	A
30839	A
30840	A
30842	A
30844	A
30854	A
30857	A
30862	A
30865	A
30866	A
30869	A
30876	A
30881	A
30882	A
30884	A
30891	A
30904	A
30940	A
30971	A
30981	A
30994	A
30998	A
3100876	A
3100877	A
3100879	A
7200876	A
7200879	A
